RollNo,Name,Maths_Mid1,Maths_Mid2,Maths_Mid3,Maths_Sem,Physics_Mid1,Physics_Mid2,Physics_Mid3,Physics_Sem,Chemistry_Mid1,Chemistry_Mid2,Chemistry_Mid3,Chemistry_Sem,English_Mid1,English_Mid2,English_Mid3,English_Sem,Telugu_Mid1,Telugu_Mid2,Telugu_Mid3,Telugu_Sem,IT_Mid1,IT_Mid2,IT_Mid3,IT_Sem
N23001,Aarav,14,15,17,43,14,14,,45,,14,12,39,13,11,15,42,11,12,,44,12,17,13,49
N23002,Priya,,16,14,45,,14,,51,16,15,14,41,18,16,16,54,13,11,10,40,,15,16,46
N23003,Rahul,9,12,10,30,14,17,14,50,14,14,11,45,8,9,12,29,20,19,18,57,10,,11,38
N23004,Sneha,14,14,18,48,14,,20,50,14,15,17,44,,,,47,17,17,16,53,13,16,14,39
N23005,Arjun,16,12,,40,9,12,10,31,16,17,18,48,18,15,,52,17,20,20,53,15,16,13,43
N23006,Ananya,9,11,15,44,15,20,16,48,16,18,13,49,16,14,,50,15,18,17,46,8,10,14,39
N23007,Kiran,14,14,11,46,20,18,18,55,18,,18,50,14,16,12,49,14,15,14,49,13,,18,52
N23008,Meena,20,20,18,60,16,,17,54,16,13,17,45,16,14,15,50,14,19,13,41,,11,11,34
N23009,Ravi,17,18,18,56,18,16,18,49,14,13,13,41,16,19,20,51,20,20,16,52,13,19,15,50
N23010,Lakshmi,,15,19,55,10,12,8,37,14,15,13,46,16,15,17,44,14,11,15,41,11,,9,32
N23011,Vikram,,19,14,48,12,13,15,41,15,16,,50,15,17,14,48,20,18,18,55,19,,19,57
N23012,Divya,17,16,18,45,13,12,14,40,13,11,10,38,16,15,15,50,,,15,47,20,20,20,60
N23013,Suresh,13,13,12,45,18,,14,48,11,10,,36,9,14,13,43,14,12,16,42,12,,16,39
N23014,Pooja,16,16,17,54,19,17,16,56,20,20,20,59,12,14,13,38,19,19,19,55,17,18,20,52
N23015,Nikhil,18,19,13,55,,14,11,49,14,13,15,39,15,14,,40,14,15,,45,,18,14,56
N23016,Sanjay,15,16,12,42,20,20,20,55,12,15,16,39,17,20,20,60,15,11,14,44,16,15,,45
N23017,Harika,11,12,11,38,,15,16,42,17,16,18,56,12,13,13,41,8,14,10,39,15,19,16,54
N23018,Manoj,,11,13,44,9,13,10,37,17,13,16,44,15,14,16,44,11,10,9,31,11,15,,45
N23019,Tejas,10,9,14,32,12,14,15,48,11,14,14,36,14,11,9,36,,10,9,34,15,14,16,49
N23020,Bhavana,18,18,18,53,13,10,12,34,20,19,20,53,16,15,13,40,15,14,10,45,16,20,16,50
N23021,Charan,16,15,15,52,13,15,14,39,13,14,9,38,14,13,16,39,9,9,11,34,20,18,,58
N23022,Keerthi,15,,16,46,15,13,16,49,11,16,11,45,13,16,17,48,13,15,10,39,14,17,16,42
N23023,Rohan,17,17,17,47,12,13,13,46,14,16,13,46,17,16,19,57,16,18,14,48,8,14,13,43
N23024,Swathi,20,20,20,54,14,13,17,49,20,20,20,52,,20,,52,10,9,12,32,11,13,11,34
N23025,Ajay,12,13,13,46,16,17,18,47,14,14,17,41,,13,8,37,17,19,18,57,17,18,15,46
N23026,Neha,12,13,12,43,14,11,14,42,9,14,10,32,15,16,18,45,17,18,18,48,16,17,19,51
N23027,Ganesh,17,,,46,,18,14,53,10,15,12,40,16,20,15,47,13,12,12,39,,12,15,35
N23028,Madhavi,18,18,,57,11,12,12,37,12,10,13,44,16,13,13,44,,11,,36,10,13,11,42
N23029,Varun,15,18,12,52,17,17,17,46,15,18,19,47,15,,15,51,14,20,15,53,14,17,13,49
N23030,Deepika,17,20,19,58,16,13,18,46,,17,14,51,18,17,18,53,13,16,17,41,16,17,13,46
N23031,Sai,10,,16,39,15,13,11,42,16,19,15,46,16,18,15,55,16,18,20,48,20,17,18,52
N23032,Ritika,15,20,17,46,16,,18,50,9,9,14,39,13,14,14,43,20,18,17,54,14,15,14,43
N23033,Aditya,16,18,17,53,17,17,15,49,9,15,14,45,13,15,18,50,14,16,18,49,11,12,13,44
N23034,Sravani,18,,18,60,,13,12,46,17,,16,48,18,17,16,56,13,10,9,41,9,14,9,39
N23035,Mahesh,13,12,9,41,14,15,17,48,13,16,16,50,11,14,14,46,13,9,14,43,11,13,12,45
N23036,Tanvi,10,10,12,39,13,11,11,42,12,,15,47,16,14,13,46,,17,16,52,13,14,12,42
N23037,Naveen,20,20,20,58,16,16,14,48,,13,17,49,13,15,14,41,,14,16,38,,17,11,42
N23038,Kavya,13,18,17,52,15,18,14,53,11,9,12,33,17,18,19,58,11,,9,34,15,20,20,49
N23039,Pranav,15,15,17,42,8,11,8,28,17,20,17,48,15,20,19,49,20,,16,49,14,14,12,38
N23040,Ishika,15,12,12,40,15,16,17,44,14,17,17,43,18,18,20,55,12,12,15,37,16,16,18,55
N23041,Dinesh,,15,15,46,10,14,14,41,16,13,15,45,,20,16,50,19,20,20,59,12,10,8,35
N23042,Akhila,12,17,16,52,10,13,15,44,,17,17,46,13,16,14,40,,12,12,46,15,17,12,47
N23043,Yash,17,16,13,42,14,13,14,39,20,17,17,53,11,11,14,35,10,9,14,34,8,13,13,39
N23044,Latha,13,15,13,41,15,16,17,54,15,17,13,43,12,,15,48,18,17,16,51,13,13,9,33
N23045,Goutham,9,13,9,36,19,20,20,59,,15,15,43,17,14,18,53,16,20,,55,14,10,13,36
N23046,Mounika,10,9,,40,15,14,14,43,15,19,13,50,17,,17,56,16,17,13,43,15,19,18,51
N23047,Tarun,19,19,,58,,17,19,46,16,18,18,48,14,18,13,51,16,17,17,53,14,16,11,41
N23048,Jahnavi,13,14,8,37,20,,18,48,13,16,15,40,11,13,10,41,11,14,15,47,11,16,,39
N23049,Harsha,17,19,,50,17,19,16,48,14,16,13,42,14,15,16,45,17,20,18,48,17,17,16,45
N23050,Sindhu,17,,20,47,13,15,,37,,10,13,36,20,19,19,54,,10,12,38,16,19,17,50
N23051,Abhinav,13,14,13,40,12,14,10,34,19,17,18,51,16,,17,48,9,14,15,46,9,11,12,35
